,Country,Region,Sub_Region,Happiness,Log_GDP,Social_Support,Healthy_Life_Expectancy,Freedom_Life_Choices,Generosity,Corruption_Perceptions
94,Sri Lanka,Asia,Southern Asia,4.442,9.491,0.826,67.15,0.787,-0.03,0.808
95,Uganda,Africa,Sub-Saharan Africa,4.432,7.716,0.794,58.913,0.701,0.114,0.857
96,Chad,Africa,Sub-Saharan Africa,4.397,7.261,0.722,53.125,0.677,0.221,0.807
97,Cambodia,Asia,South-eastern Asia,4.393,8.385,0.747,61.9,0.958,0.073,0.857
98,Benin,Africa,Sub-Saharan Africa,4.374,8.103,0.437,56.095,0.743,-0.043,0.576
99,Myanmar,Asia,South-eastern Asia,4.372,8.404,0.787,61.388,0.727,0.491,0.658
100,Bangladesh,Asia,Southern Asia,4.282,8.685,0.544,64.548,0.845,0.005,0.698
101,Gambia,Africa,Sub-Saharan Africa,4.279,7.648,0.584,57.9,0.596,0.364,0.883
102,Mali,Africa,Sub-Saharan Africa,4.198,7.655,0.593,55.403,0.713,-0.028,0.846
103,Egypt,Africa,Northern Africa,4.17,9.367,0.726,63.503,0.732,-0.183,0.58
104,Togo,Africa,Sub-Saharan Africa,4.137,7.673,0.595,57.449,0.657,0.024,0.74
105,Jordan,Asia,Western Asia,4.12,9.13,0.729,67.6,0.77,-0.15,0.687
106,Ethiopia,Africa,Sub-Saharan Africa,4.091,7.739,0.782,60.698,0.72,0.273,0.789
107,Liberia,Africa,Sub-Saharan Africa,4.042,7.277,0.596,56.7,0.735,0.154,0.83
108,India,Asia,Southern Asia,4.036,8.759,0.608,60.777,0.897,0.072,0.774
109,Madagascar,Africa,Sub-Saharan Africa,4.019,7.29,0.65,58.05,0.522,0.075,0.742
110,Zambia,Africa,Sub-Saharan Africa,3.982,8.074,0.694,55.032,0.791,0.098,0.818
111,Comoros,Africa,Sub-Saharan Africa,3.545,8.075,0.471,59.425,0.47,-0.014,0.727
112,Malawi,Africa,Sub-Saharan Africa,3.495,7.302,0.531,58.475,0.75,0.005,0.749
113,Botswana,Africa,Sub-Saharan Africa,3.435,9.629,0.753,54.725,0.742,-0.215,0.83
114,Zimbabwe,Africa,Sub-Saharan Africa,3.204,7.641,0.69,54.05,0.654,-0.046,0.766
115,Sierra Leone,Africa,Sub-Saharan Africa,3.138,7.394,0.555,54.9,0.66,0.105,0.858
116,Lebanon,Asia,Western Asia,2.392,9.478,0.53,66.149,0.474,-0.141,0.891
117,Afghanistan,Asia,Southern Asia,1.859,7.324,0.341,54.712,0.382,-0.081,0.847
